Fraud_Case_ID,Transaction_ID,Fraud_Flag,Risk_Score,Detection_Method,Case_Status
2001879,10257363,0,0.087,ML Model,False Positive
2001880,10332443,0,0.166,Manual,Closed
2001881,10336438,0,0.907,ML Model,Confirmed
2001882,10100910,0,0.979,Rule,Closed
2001883,10207871,0,0.885,ML Model,Confirmed
2001884,10286131,0,0.252,ML Model,Confirmed
2001885,10043421,0,0.921,Manual,Closed
2001886,10165208,0,0.918,ML Model,Confirmed
2001887,10242145,0,0.314,Manual,Confirmed
2001888,10386415,0,0.506,Rule,Confirmed
2001889,10201107,0,0.109,ML Model,Open
2001890,10182672,0,0.323,Manual,Open
2001891,10139873,0,0.391,ML Model,Confirmed
2001892,10158716,1,0.46,Manual,Closed
2001893,10342444,0,0.228,Manual,Confirmed
2001894,10024468,0,0.937,Manual,Confirmed
2001895,10259268,0,0.774,Rule,Open
2001896,10369640,0,0.853,Manual,Closed
2001897,10306467,1,0.49,Rule,Confirmed
2001898,10240857,0,0.136,Rule,Open
2001899,10360912,0,0.342,Rule,False Positive
2001900,10146670,0,0.876,Rule,Closed
2001901,10248494,0,0.992,ML Model,Open
2001902,10255152,0,0.591,Manual,False Positive
2001903,10359557,0,0.946,ML Model,False Positive
2001904,10320189,0,0.845,ML Model,False Positive
2001905,10295766,0,0.991,ML Model,Closed
2001906,10258299,0,0.693,ML Model,Closed
2001907,10168151,0,0.03,ML Model,Confirmed
2001908,10297973,0,0.696,Rule,Confirmed
2001909,10188499,0,0.61,Rule,Closed
2001910,10177202,0,0.357,Manual,False Positive
2001911,10397901,0,0.93,Manual,Open
2001912,10157234,0,0.697,ML Model,Closed
2001913,10098474,0,0.924,Manual,Open
2001914,10352434,0,0.466,Rule,Closed
2001915,10044093,0,0.126,ML Model,Open
2001916,10000423,0,0.288,Manual,Open
2001917,10074105,0,0.189,Rule,Confirmed
2001918,10150836,0,0.36,ML Model,Open
2001919,10257720,0,0.579,ML Model,False Positive
2001920,10111321,0,0.071,Rule,Closed
2001921,10316505,0,0.165,Rule,Closed
2001922,10245134,0,0.829,Manual,Open
2001923,10358205,0,0.698,ML Model,Confirmed
2001924,10198115,0,0.687,Rule,Open
2001925,10108688,0,0.049,ML Model,Confirmed
2001926,10075853,0,0.964,Rule,Confirmed
2001927,10227921,0,0.224,Manual,Open
2001928,10292456,0,0.298,ML Model,False Positive
2001929,10035953,0,0.154,Manual,False Positive
2001930,10250956,0,0.509,ML Model,Open
2001931,10121515,0,0.183,Rule,Open
2001932,10377468,0,0.86,Rule,Open
2001933,10002340,0,0.452,ML Model,Closed
2001934,10037207,0,0.745,ML Model,False Positive
2001935,10054336,0,0.806,ML Model,Confirmed
2001936,10142095,0,0.285,ML Model,Open
2001937,10238702,0,0.428,Manual,Closed
2001938,10052032,0,0.708,Manual,Confirmed
2001939,10291608,0,0.279,Manual,Closed
2001940,10394238,0,0.281,Manual,Open
2001941,10070051,0,0.188,Manual,Confirmed
2001942,10109967,0,0.665,Rule,Open
2001943,10028144,0,0.931,Manual,False Positive
2001944,10127698,0,0.843,Rule,Confirmed
2001945,10070840,0,0.534,Rule,Open
2001946,10315591,0,0.761,Rule,Open
2001947,10223435,0,0.163,Rule,Open
2001948,10166185,0,0.666,Rule,Closed
2001949,10258854,0,0.287,Manual,Open
2001950,10393584,0,0.963,Rule,Confirmed
2001951,10364460,0,0.23,Rule,Confirmed
2001952,10139910,0,0.308,Manual,Closed
2001953,10024561,0,0.874,ML Model,Confirmed
2001954,10399511,0,0.069,Manual,Open
2001955,10038434,0,0.221,Manual,False Positive
2001956,10309206,0,0.93,Rule,Open
2001957,10315049,0,0.005,Manual,Closed
2001958,10122800,1,0.374,ML Model,Open
2001959,10327900,0,0.225,ML Model,False Positive
2001960,10105760,0,0.034,Rule,Closed
2001961,10067391,0,0.351,Manual,Open
2001962,10231687,0,0.041,Rule,False Positive
2001963,10321304,0,0.712,Manual,Open
2001964,10365605,0,0.439,ML Model,Confirmed
2001965,10259678,0,0.47,Manual,Open
2001966,10393517,0,0.158,Manual,False Positive
2001967,10264224,0,0.273,ML Model,Closed
2001968,10189546,0,0.655,ML Model,Closed
2001969,10083369,0,0.216,Manual,Open
2001970,10365504,0,0.055,Rule,Closed
2001971,10140559,0,0.616,Rule,Open
2001972,10194371,0,0.585,Manual,Confirmed
2001973,10083436,1,0.54,Rule,Closed
2001974,10000020,0,0.813,Manual,False Positive
2001975,10044684,0,0.573,Rule,Closed
2001976,10174226,1,0.893,ML Model,Confirmed
2001977,10184830,0,0.565,Rule,False Positive
2001978,10166004,0,0.911,Manual,Open
2001979,10061896,0,0.339,ML Model,Open
2001980,10053458,0,0.07,ML Model,Closed
2001981,10117033,0,0.619,Rule,Closed
2001982,10104748,0,0.284,Rule,Confirmed
2001983,10185871,0,0.43,Manual,Open
2001984,10322233,0,0.524,Rule,Open
2001985,10089027,0,0.958,ML Model,False Positive
2001986,10185776,1,0.302,ML Model,Confirmed
2001987,10152553,0,0.01,Manual,Confirmed
2001988,10239650,0,0.375,Manual,Closed
2001989,10207035,0,0.426,ML Model,Closed
2001990,10368950,0,0.592,Manual,Open
2001991,10177870,1,0.129,ML Model,False Positive
2001992,10335653,0,0.982,ML Model,Confirmed
2001993,10142833,1,0.257,Manual,Confirmed
2001994,10239163,0,0.624,Manual,Confirmed
2001995,10120282,0,0.317,Manual,Closed
2001996,10396352,0,0.419,ML Model,Confirmed
2001997,10073100,0,0.417,Manual,False Positive
2001998,10013001,0,0.879,Rule,False Positive
2001999,10057945,0,0.74,ML Model,Confirmed
2002000,10164732,0,0.1,Rule,Confirmed
2002001,10258240,0,0.572,Rule,Closed
2002002,10397478,1,0.56,Rule,Closed
2002003,10067601,0,0.181,Rule,False Positive
2002004,10003454,0,0.253,Rule,False Positive
2002005,10365119,0,0.395,Manual,Confirmed
2002006,10189418,0,0.862,Manual,False Positive
2002007,10036088,0,0.164,Manual,False Positive
2002008,10399947,0,0.237,ML Model,Closed
2002009,10294443,0,0.528,Manual,Closed
2002010,10077491,0,0.619,ML Model,False Positive
2002011,10037314,0,0.025,Rule,Confirmed
2002012,10038342,0,0.33,Rule,Confirmed
2002013,10244465,0,0.209,ML Model,Closed
2002014,10138070,0,0.367,Manual,Open
2002015,10013294,0,0.729,Manual,False Positive
2002016,10272816,0,0.771,Manual,Closed
2002017,10112772,0,0.158,Rule,Closed
2002018,10179034,0,0.248,Manual,Open
2002019,10156666,0,0.623,ML Model,Open
2002020,10030045,1,0.929,Rule,False Positive
2002021,10314565,0,0.888,Rule,Closed
2002022,10138491,0,0.005,Rule,False Positive
2002023,10142808,0,0.246,Manual,Open
2002024,10161954,0,0.819,ML Model,Closed
2002025,10086082,0,0.9,Manual,False Positive
2002026,10115568,0,0.263,Rule,False Positive
2002027,10122924,0,0.944,Rule,Closed
2002028,10051069,0,0.278,Manual,False Positive
2002029,10205305,0,0.918,Rule,False Positive
2002030,10398736,0,0.427,ML Model,False Positive
2002031,10268848,0,0.976,Manual,Confirmed
2002032,10237248,0,0.263,ML Model,False Positive
2002033,10199852,0,0.953,Rule,Open
2002034,10127850,0,0.869,Rule,Confirmed
2002035,10270841,0,0.519,Manual,Open
2002036,10219494,0,0.119,ML Model,Confirmed
2002037,10179959,0,0.242,Rule,Confirmed
2002038,10290378,0,0.991,Rule,Open
2002039,10046740,0,0.269,ML Model,Closed
2002040,10309010,0,0.916,ML Model,Open
2002041,10118533,1,0.63,Manual,False Positive
2002042,10303487,0,0.528,Manual,Open
2002043,10076321,0,0.995,Rule,Open
2002044,10104401,0,0.234,ML Model,False Positive
2002045,10173875,0,0.958,ML Model,Closed
2002046,10019328,0,0.333,Manual,False Positive
2002047,10069843,0,0.51,Rule,Confirmed
2002048,10063904,0,0.464,Manual,False Positive
2002049,10047467,0,0.826,ML Model,False Positive
2002050,10395625,0,0.557,ML Model,Closed
2002051,10142046,0,0.618,Rule,Closed
2002052,10254126,0,0.56,ML Model,Open
2002053,10121312,0,0.535,Rule,Confirmed
2002054,10332886,0,0.229,ML Model,Closed
2002055,10302534,0,0.922,Manual,Open
2002056,10151648,0,0.378,Manual,Open
2002057,10310516,0,0.692,Rule,Confirmed
2002058,10262534,0,0.978,Rule,Confirmed
2002059,10202538,0,0.243,Rule,Open
2002060,10111659,0,0.856,ML Model,False Positive
2002061,10287073,0,0.046,Rule,Confirmed
2002062,10207082,0,0.85,Rule,Closed
2002063,10212596,0,0.063,Rule,False Positive
2002064,10236215,0,0.707,Manual,Confirmed
2002065,10122628,1,0.921,Rule,Closed
2002066,10283695,0,0.585,Rule,Open
2002067,10193007,0,0.071,Rule,Confirmed
2002068,10012752,0,0.698,Manual,Confirmed
2002069,10164512,1,0.808,ML Model,Closed
2002070,10348583,0,0.802,ML Model,False Positive
2002071,10134122,1,0.88,ML Model,Closed
2002072,10107867,0,0.293,ML Model,Closed
2002073,10189161,0,0.912,Rule,Open
2002074,10168008,1,0.175,Rule,Open
2002075,10366799,0,0.889,Manual,Open
2002076,10013511,0,0.861,Rule,False Positive
2002077,10092999,0,0.19,Rule,Closed
2002078,10037164,0,0.517,ML Model,Closed
2002079,10205548,0,0.164,Rule,Open
2002080,10075505,0,0.593,Manual,Confirmed
2002081,10387095,0,0.693,ML Model,Closed
2002082,10350482,0,0.31,Manual,Closed
2002083,10018519,0,0.99,ML Model,Open
2002084,10287489,0,0.496,Manual,Closed
2002085,10145620,0,0.427,Rule,Confirmed
2002086,10219635,0,0.282,Manual,False Positive
2002087,10070358,0,0.211,ML Model,Open
2002088,10051880,0,0.075,Rule,Closed
2002089,10020586,0,0.996,Rule,Confirmed
2002090,10286338,0,0.342,Manual,Closed
2002091,10265673,0,0.386,Rule,Open
2002092,10160590,0,0.437,ML Model,Closed
2002093,10370776,0,0.287,Manual,Confirmed
2002094,10062339,1,0.919,Manual,Open
2002095,10008178,0,0.269,Rule,Open
2002096,10074465,0,0.051,Manual,Open
2002097,10127172,1,0.152,Rule,False Positive
2002098,10304186,0,0.316,Rule,Open
2002099,10391348,0,0.999,Rule,False Positive
2002100,10219574,0,0.01,Manual,False Positive
2002101,10186752,0,0.105,Rule,Closed
2002102,10184327,0,0.961,Manual,Closed
2002103,10352511,0,0.152,Rule,False Positive
2002104,10048481,0,0.409,Manual,Confirmed
2002105,10358102,0,0.66,Manual,Confirmed
2002106,10087921,0,0.757,Rule,Closed
2002107,10139126,0,0.932,Manual,Open
2002108,10261978,0,0.839,Manual,Closed
2002109,10030613,0,0.266,Rule,False Positive
2002110,10137132,1,0.677,ML Model,Closed
2002111,10287064,0,0.034,Rule,False Positive
2002112,10052277,0,0.891,ML Model,Open
2002113,10273920,0,0.961,Rule,Open
2002114,10226432,0,0.027,ML Model,Confirmed
2002115,10091819,0,0.316,Manual,False Positive
2002116,10250193,0,0.691,Rule,Confirmed
2002117,10098506,0,0.305,Manual,Closed
2002118,10047700,0,0.21,ML Model,Confirmed
2002119,10182406,1,0.536,Manual,Closed
2002120,10298854,0,0.584,Manual,Open
2002121,10002391,0,0.908,Manual,Open
2002122,10110879,0,0.053,Manual,Open
2002123,10009146,0,0.539,ML Model,False Positive
2002124,10377725,0,0.102,Manual,Open
2002125,10015901,0,0.841,Rule,Closed
2002126,10108051,0,0.819,Manual,Open
2002127,10010826,0,0.421,Manual,Confirmed
2002128,10274888,1,0.02,Manual,Confirmed
2002129,10287329,0,0.268,Manual,Open
2002130,10054353,0,0.91,ML Model,Open
2002131,10204503,0,0.598,Rule,Confirmed
2002132,10068743,0,0.755,Rule,False Positive
2002133,10246617,0,0.991,Rule,Closed
2002134,10341487,0,0.978,ML Model,Closed
2002135,10140116,0,0.327,Rule,Confirmed
2002136,10220966,0,0.295,Manual,Closed
2002137,10135722,0,0.029,Rule,False Positive
2002138,10148316,0,0.025,Rule,Open
2002139,10077697,0,0.811,Rule,Open
2002140,10098016,0,0.57,Manual,Open
2002141,10339414,0,0.561,Rule,Confirmed
2002142,10097376,0,0.64,Manual,Closed
2002143,10382904,0,0.037,Manual,False Positive
2002144,10051534,0,0.489,Rule,Confirmed
2002145,10229198,0,0.47,Manual,Closed
2002146,10044002,0,0.821,Rule,Closed
2002147,10155112,0,0.029,ML Model,False Positive
2002148,10206136,0,0.369,Rule,False Positive
2002149,10113574,0,0.816,Manual,Open
2002150,10381301,0,0.715,Manual,Closed
2002151,10018949,0,0.222,Rule,Confirmed
2002152,10378916,0,0.392,Rule,Confirmed
2002153,10121193,0,0.089,Manual,False Positive
2002154,10072351,0,0.001,Rule,Confirmed
2002155,10113285,0,0.79,Manual,Closed
2002156,10395817,0,0.98,Rule,Confirmed
2002157,10001160,0,0.102,ML Model,Confirmed
2002158,10313939,0,0.006,Manual,False Positive
2002159,10377549,0,0.533,Rule,Confirmed
2002160,10046791,0,0.476,ML Model,Confirmed
2002161,10270719,0,0.764,Manual,Open
2002162,10299772,1,0.995,Manual,Confirmed
2002163,10359546,0,0.433,Manual,Confirmed
2002164,10254251,1,0.175,Manual,False Positive
2002165,10112773,0,0.61,Manual,Open
2002166,10024187,0,0.116,ML Model,Open
2002167,10005666,0,0.723,Manual,Open
2002168,10334025,0,0.745,Manual,False Positive
2002169,10165539,0,0.674,ML Model,Open
2002170,10146401,0,0.905,ML Model,Open
2002171,10361260,0,0.657,ML Model,False Positive
2002172,10287258,0,0.897,Manual,False Positive
2002173,10072941,0,0.363,Rule,Confirmed
2002174,10061129,0,0.776,Rule,False Positive
2002175,10224250,0,0.582,ML Model,False Positive
2002176,10310115,0,0.79,Manual,Confirmed
2002177,10009412,0,0.565,Rule,Open
2002178,10300551,0,0.03,ML Model,Open
2002179,10095459,0,0.421,Manual,Confirmed
2002180,10155233,0,0.29,Rule,False Positive
2002181,10085788,0,0.693,Rule,Confirmed
2002182,10185072,0,0.955,ML Model,False Positive
2002183,10058384,0,0.151,Manual,Confirmed
2002184,10114362,0,0.127,ML Model,Confirmed
2002185,10384203,0,0.249,ML Model,Open
2002186,10247474,0,0.09,Rule,Open
2002187,10141713,0,0.969,Manual,Closed
2002188,10375398,0,0.311,Manual,Closed
2002189,10011083,0,0.767,Rule,False Positive
2002190,10068118,0,0.264,Manual,Confirmed
2002191,10075016,0,0.236,Rule,Confirmed
2002192,10289371,0,0.105,ML Model,False Positive
2002193,10301989,0,0.585,ML Model,Confirmed
2002194,10221537,0,0.643,Rule,Open
2002195,10079951,0,0.31,ML Model,Confirmed
2002196,10202778,0,0.226,ML Model,Open
2002197,10083796,0,0.437,ML Model,False Positive
2002198,10127795,0,0.506,ML Model,False Positive
2002199,10313947,0,0.555,Manual,Confirmed
2002200,10131169,0,0.441,ML Model,False Positive
2002201,10364361,0,0.995,ML Model,False Positive
2002202,10203029,0,0.698,Manual,False Positive
2002203,10084571,0,0.654,Manual,False Positive
2002204,10358819,0,0.44,Manual,Confirmed
2002205,10184743,0,0.996,Manual,Confirmed
2002206,10329611,0,0.126,Manual,False Positive
2002207,10230045,0,0.224,Rule,False Positive
2002208,10153817,0,0.827,Manual,Closed
2002209,10249402,0,0.104,Rule,Closed
2002210,10133689,0,0.516,ML Model,Open
2002211,10270120,0,0.23,Manual,Open
2002212,10365114,0,0.668,ML Model,Closed
2002213,10045712,0,0.076,ML Model,Confirmed
2002214,10262316,0,0.469,ML Model,Closed
2002215,10101411,0,0.599,Rule,Open
2002216,10231190,0,0.331,Manual,Confirmed
2002217,10358349,0,0.18,ML Model,Open
2002218,10220046,0,0.358,Rule,False Positive
2002219,10183182,0,0.976,ML Model,Confirmed
2002220,10054120,0,0.802,Manual,False Positive
2002221,10369868,0,0.453,ML Model,Confirmed
2002222,10192494,0,0.996,Rule,Closed
2002223,10082094,0,0.193,Rule,Open
2002224,10013507,1,0.461,Manual,Confirmed
2002225,10318385,0,0.505,ML Model,Confirmed
2002226,10220930,0,0.058,Manual,Confirmed
2002227,10125680,0,0.44,Rule,Confirmed
2002228,10182912,1,0.253,ML Model,Closed
2002229,10286661,0,0.719,Manual,False Positive
2002230,10332137,0,0.223,ML Model,Closed
2002231,10383482,0,0.996,Rule,Confirmed
2002232,10201460,1,0.972,Rule,Open
2002233,10387684,0,0.148,ML Model,Open
2002234,10385392,0,0.809,Rule,False Positive
2002235,10126413,0,0.288,ML Model,Closed
2002236,10384289,0,0.946,Rule,Closed
2002237,10117899,0,0.641,Manual,Open
2002238,10317365,0,0.458,Rule,Open
2002239,10020456,0,0.698,ML Model,Confirmed
2002240,10198817,0,0.56,ML Model,Closed
2002241,10005945,0,0.127,Rule,False Positive
2002242,10200028,0,0.917,ML Model,Closed
2002243,10245328,0,0.184,ML Model,False Positive
2002244,10081154,0,0.805,Manual,Confirmed
2002245,10158137,0,0.079,ML Model,Closed
2002246,10077235,0,0.306,ML Model,Closed
2002247,10311873,0,0.448,Rule,Closed
2002248,10148322,0,0.803,Rule,Closed
2002249,10280357,0,0.993,Rule,Open
2002250,10085213,0,0.679,Rule,Closed
2002251,10060177,0,0.361,Manual,Confirmed
2002252,10263021,0,0.106,Rule,Closed
2002253,10173338,0,0.525,ML Model,Closed
2002254,10093267,1,0.481,Manual,False Positive
2002255,10165283,0,0.803,Rule,Confirmed
2002256,10242942,0,0.365,Rule,Closed
2002257,10350622,0,0.848,ML Model,Closed
2002258,10272678,0,0.666,ML Model,Open
2002259,10384718,0,0.045,Manual,Closed
2002260,10307134,0,0.951,Rule,False Positive
2002261,10239823,0,0.989,Rule,False Positive
2002262,10193216,0,0.036,ML Model,Confirmed
2002263,10219814,0,0.498,ML Model,Confirmed
2002264,10201798,1,0.379,ML Model,Open
2002265,10189382,0,0.549,Manual,False Positive
2002266,10004087,0,0.026,Manual,False Positive
2002267,10071330,0,0.23,Manual,False Positive
2002268,10368322,0,0.742,Manual,Confirmed
2002269,10263162,0,0.05,Rule,Closed
2002270,10103259,0,0.7,Manual,Open
2002271,10051616,0,0.718,Rule,Confirmed
2002272,10058187,0,0.216,Manual,Closed
2002273,10258092,0,0.88,Rule,Closed
2002274,10360979,0,0.951,Rule,Closed
2002275,10003313,0,0.59,Rule,Open
2002276,10251790,0,0.772,Manual,Open
2002277,10265924,0,0.313,ML Model,Closed
2002278,10157664,0,0.493,Rule,Closed
2002279,10236886,0,0.37,Rule,Closed
2002280,10362891,1,0.894,Rule,False Positive
2002281,10024424,0,0.526,Rule,False Positive
2002282,10352744,0,0.936,ML Model,False Positive
2002283,10070263,0,0.258,Rule,Closed
2002284,10132015,1,0.47,ML Model,Confirmed
2002285,10191440,0,0.712,Rule,Open
2002286,10281511,0,0.619,Rule,Closed
2002287,10105300,0,0.723,Manual,Confirmed
2002288,10006129,0,0.432,Rule,Closed
2002289,10067191,0,0.707,Manual,False Positive
2002290,10020161,0,0.251,Manual,Confirmed
2002291,10069090,0,0.467,Rule,Confirmed
2002292,10144186,1,0.768,ML Model,Open
2002293,10163204,0,0.311,Manual,Closed
2002294,10040639,0,0.14,Manual,Closed
2002295,10375930,0,0.511,Manual,False Positive
2002296,10058241,0,0.53,ML Model,Confirmed
2002297,10204581,0,0.186,Rule,Open
2002298,10116549,0,0.337,Rule,Confirmed
2002299,10066604,0,0.526,Rule,Open
2002300,10159015,0,0.62,Manual,Confirmed
2002301,10200588,0,0.15,Manual,Open
2002302,10351552,1,0.404,ML Model,Closed
2002303,10146343,0,0.582,Rule,Closed
2002304,10394828,0,0.954,Manual,False Positive
2002305,10316137,0,0.92,Rule,Closed
2002306,10139653,0,0.501,Manual,Confirmed
2002307,10296493,0,0.158,Manual,Open
2002308,10330693,0,0.683,Rule,Closed
2002309,10269223,0,0.6,ML Model,Confirmed
2002310,10092164,0,0.79,Rule,Closed
2002311,10229418,0,0.389,Rule,Closed
2002312,10028509,0,0.438,Manual,Closed
2002313,10034738,1,0.604,Manual,False Positive
2002314,10310204,0,0.279,Manual,Closed
2002315,10027018,0,0.669,ML Model,Open
2002316,10376388,0,0.191,Rule,Confirmed
2002317,10085446,0,0.061,Rule,Closed
2002318,10215889,0,0.862,Rule,False Positive
2002319,10208361,0,0.221,Manual,False Positive
2002320,10018864,0,0.813,Manual,Confirmed
2002321,10210400,0,0.956,Manual,Confirmed
2002322,10221490,0,0.414,Rule,False Positive
2002323,10095129,0,0.466,Rule,Closed
2002324,10305967,0,0.263,Manual,Confirmed
2002325,10381382,0,0.298,ML Model,Closed
2002326,10116649,0,0.196,Rule,Open
2002327,10286989,0,0.913,Rule,Open
2002328,10143607,0,0.418,ML Model,Confirmed
2002329,10391412,0,0.866,ML Model,Closed
2002330,10044749,0,0.148,Manual,False Positive
2002331,10120577,0,0.682,Manual,Open
2002332,10271786,0,0.286,Manual,False Positive
2002333,10096401,0,0.83,Manual,False Positive
2002334,10031562,0,0.281,Rule,Confirmed
2002335,10338433,0,0.575,Rule,Open
2002336,10335095,0,0.843,ML Model,Closed
2002337,10076890,0,0.977,ML Model,Open
2002338,10071356,0,0.192,ML Model,False Positive
2002339,10005924,0,0.932,Rule,False Positive
2002340,10382511,0,0.987,Rule,False Positive
2002341,10180221,0,0.096,Manual,False Positive
2002342,10118209,0,0.397,Manual,False Positive
2002343,10218853,0,0.819,Manual,False Positive
2002344,10301460,1,0.865,ML Model,False Positive
2002345,10342710,0,0.482,Rule,False Positive
2002346,10146751,0,0.716,ML Model,Closed
2002347,10229604,0,0.148,Rule,Open
2002348,10330339,0,0.707,Manual,Open
2002349,10190928,0,0.335,ML Model,Closed
2002350,10314069,0,0.357,ML Model,Closed
2002351,10116364,0,0.486,ML Model,Closed
2002352,10020255,0,0.834,Manual,False Positive
2002353,10009631,0,0.544,Manual,Closed
2002354,10041524,1,0.19,ML Model,Confirmed
2002355,10028438,0,0.442,ML Model,False Positive
2002356,10017778,0,0.038,ML Model,Closed
2002357,10232343,0,0.949,ML Model,Open
2002358,10119231,0,0.599,Rule,Confirmed
2002359,10398708,0,0.946,Manual,False Positive
2002360,10140035,0,0.861,Manual,Confirmed
2002361,10358868,0,0.325,Manual,Confirmed
2002362,10116783,0,0.571,Manual,Open
2002363,10376493,0,0.108,ML Model,Closed
2002364,10129514,0,0.469,Manual,False Positive
2002365,10143175,0,0.899,Rule,Open
2002366,10170615,0,0.74,Manual,Open
2002367,10174961,0,0.47,ML Model,Closed
2002368,10249481,0,0.107,Rule,Closed
2002369,10062352,0,0.519,ML Model,Closed
2002370,10381459,0,0.698,Rule,False Positive
2002371,10170230,0,0.154,Manual,False Positive
2002372,10013416,0,0.771,Manual,Confirmed
2002373,10161636,0,0.615,Manual,False Positive
2002374,10399930,0,0.931,ML Model,Closed
2002375,10079740,0,0.669,ML Model,Confirmed
2002376,10337212,0,0.691,Rule,Confirmed
2002377,10258994,0,0.969,ML Model,Closed
2002378,10383929,0,0.805,ML Model,Closed
2002379,10020338,0,0.718,Rule,Open
2002380,10090458,0,0.399,ML Model,Confirmed
2002381,10075576,0,0.667,ML Model,Open
2002382,10003200,0,0.727,ML Model,Confirmed
2002383,10249281,0,0.874,Manual,Open
2002384,10384219,0,0.395,Rule,Open
2002385,10004891,0,0.088,ML Model,False Positive
2002386,10130617,0,0.448,ML Model,Closed
2002387,10352626,0,0.918,Rule,Closed
2002388,10287126,0,0.235,Rule,Closed
2002389,10187612,0,0.113,Manual,Closed
2002390,10384035,0,0.074,Manual,False Positive
2002391,10124079,0,0.086,Manual,False Positive
2002392,10042170,0,0.917,Manual,Open
2002393,10397512,0,0.39,Manual,Open
2002394,10098959,0,0.803,Manual,Closed
2002395,10181009,0,0.457,Rule,Closed
2002396,10344922,0,0.192,ML Model,False Positive
2002397,10025726,0,0.713,Manual,Closed
2002398,10182692,0,0.415,Manual,Closed
2002399,10025398,0,0.461,ML Model,Open
2002400,10319808,0,0.419,ML Model,Closed
2002401,10123883,0,0.942,ML Model,False Positive
2002402,10190284,0,0.671,Manual,Open
2002403,10093168,0,0.624,Manual,Confirmed
2002404,10121201,0,0.446,Rule,Closed
2002405,10226391,0,0.905,Manual,Closed
2002406,10080229,0,0.001,ML Model,False Positive
2002407,10040952,0,0.907,Rule,Open
2002408,10077694,0,0.434,Manual,Confirmed
2002409,10092641,1,0.145,Manual,Closed
2002410,10328297,0,0.841,Manual,Confirmed
2002411,10221300,0,0.399,ML Model,Closed
2002412,10139184,0,0.923,Manual,Open
2002413,10008495,0,0.233,Rule,Closed
2002414,10323475,0,0.396,Manual,False Positive
2002415,10283282,0,0.246,ML Model,Confirmed
2002416,10052718,0,0.033,ML Model,Open
2002417,10284673,0,0.725,Manual,Closed
2002418,10246835,0,0.356,Rule,Confirmed
2002419,10288397,0,0.643,ML Model,Confirmed
2002420,10202426,0,0.951,Rule,False Positive
2002421,10042244,0,0.489,Manual,Confirmed
2002422,10275608,0,0.865,Rule,Closed
2002423,10223579,0,0.73,Manual,Confirmed
2002424,10272518,0,0.404,ML Model,Open
2002425,10287483,0,0.488,Rule,False Positive
2002426,10175101,0,0.092,ML Model,Closed
2002427,10308843,0,0.188,Manual,Open
2002428,10229110,0,0.382,Manual,False Positive
2002429,10069540,0,0.953,Manual,Closed
2002430,10032776,0,0.316,Rule,Open
2002431,10035992,0,0.163,Manual,Open
2002432,10137869,1,0.947,Manual,Open
2002433,10308373,1,0.196,ML Model,False Positive
2002434,10184566,1,0.743,Rule,False Positive
2002435,10165838,0,0.236,Manual,Open
2002436,10037942,0,0.79,Manual,Open
2002437,10095421,0,0.862,Rule,Open
2002438,10225172,0,0.569,Rule,Open
2002439,10366508,0,0.137,Rule,Open
2002440,10264579,0,0.86,Manual,Open
2002441,10335488,0,0.202,Manual,Closed
2002442,10314773,0,0.626,Rule,Open
2002443,10048135,0,0.453,ML Model,Closed
2002444,10078700,0,0.09,Manual,False Positive
2002445,10122534,0,0.434,ML Model,False Positive
2002446,10219890,0,0.711,Manual,Open
2002447,10216929,0,0.952,Rule,False Positive
2002448,10188769,0,0.376,ML Model,Open
2002449,10388962,1,0.86,Manual,Closed
2002450,10302176,0,0.144,Manual,Confirmed
2002451,10034690,0,0.064,Rule,Open
2002452,10126250,0,0.226,Rule,False Positive
2002453,10119761,0,0.315,ML Model,Confirmed
2002454,10043868,0,0.573,Rule,False Positive
2002455,10386320,1,0.526,Rule,False Positive
2002456,10242982,0,0.733,ML Model,Closed
2002457,10221136,0,0.516,Manual,Open
2002458,10282495,0,0.215,ML Model,False Positive
2002459,10078585,0,0.002,ML Model,Confirmed
2002460,10050951,0,0.26,Manual,False Positive
2002461,10177338,0,0.558,Rule,False Positive
2002462,10076946,0,0.258,ML Model,Closed
2002463,10353217,0,0.952,ML Model,Confirmed
2002464,10358055,0,0.596,Rule,False Positive
2002465,10091839,0,0.662,Manual,False Positive
2002466,10182188,0,0.744,ML Model,Closed
2002467,10123288,1,0.149,Rule,Confirmed
2002468,10218333,0,0.268,Manual,Confirmed
2002469,10017808,0,0.576,ML Model,Open
2002470,10310123,0,0.593,Manual,Closed
2002471,10188962,0,0.23,ML Model,Closed
2002472,10273261,0,0.799,Manual,False Positive
2002473,10382999,0,0.486,ML Model,Closed
2002474,10373242,0,0.541,Rule,Confirmed
2002475,10040976,1,0.022,Manual,Open
2002476,10295506,0,0.913,ML Model,Open
2002477,10249859,1,0.324,ML Model,False Positive
2002478,10256839,0,0.289,ML Model,Confirmed
2002479,10210248,0,0.244,Rule,False Positive
2002480,10186651,0,0.262,Manual,Open
2002481,10208418,1,0.077,Manual,Closed
2002482,10366969,0,0.66,ML Model,Closed
2002483,10104491,0,0.805,Rule,Closed
2002484,10071781,0,0.082,Rule,Confirmed
2002485,10166984,0,0.079,ML Model,Closed
2002486,10208650,0,0.351,Rule,Closed
2002487,10362933,0,0.673,Rule,Open
2002488,10269591,0,0.252,Rule,Confirmed
2002489,10238279,0,0.239,ML Model,Closed
2002490,10261784,0,0.947,ML Model,Open
